,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
33,Cape Town,20,ZA,1583782957,82,-33.93,18.42,291.48,9.3
34,Baghdad,46,IQ,1583783147,48,33.34,44.4,291.15,1.5
35,Punta Arenas,20,CL,1583783345,51,-53.15,-70.92,288.15,5.7
36,Vanimo,100,PG,1583783345,79,-2.67,141.3,301.18,6.64
37,Airai,95,TL,1583783345,94,-8.93,125.41,292.26,0.87
38,Barrow,40,US,1583783345,75,71.29,-156.79,244.15,3.1
39,Natitingou,1,BJ,1583783345,14,10.3,1.38,301.34,1.62
40,Salaga,63,GH,1583783346,50,8.55,-0.52,303.04,2.09
41,Tiverton,75,GB,1583783346,100,50.9,-3.48,283.71,4.1
42,Balkanabat,0,TM,1583783346,23,39.51,54.37,278.92,3.67
43,Majene,53,ID,1583783346,89,-3.54,118.97,297.18,1.44
44,Yeppoon,100,AU,1583783346,83,-23.13,150.73,295.15,2.6
45,Altay,52,CN,1583783346,59,47.87,88.12,258.26,1.05
46,Ketchikan,90,US,1583783347,93,55.34,-131.65,276.15,12.9
47,Dajal,0,PK,1583783347,44,29.56,70.38,290.72,2.43
48,Bilibino,94,RU,1583783347,100,68.05,166.44,248.93,0.39
49,Numan,53,NG,1583783347,9,9.47,12.03,302.55,1.25
50,Qaqortoq,75,GL,1583783347,54,60.72,-46.03,272.15,3.6
51,Belém,75,BR,1583783346,78,-1.46,-48.5,300.15,3.6
52,Thompson,100,CA,1583783138,76,55.74,-97.86,256.86,2.04
53,Departamento de Maldonado,75,UY,1583783348,78,-34.67,-54.92,296.15,7.2
54,San Patricio,75,MX,1583783348,74,19.22,-104.7,302.15,2.6
55,Hilo,90,US,1583783056,82,19.73,-155.09,295.93,6.7
56,Kahului,75,US,1583783349,88,20.89,-156.47,295.15,7.2
57,Quang Ngai,0,VN,1583783349,87,15.12,108.8,297.64,3.36
58,Hithadhoo,82,MV,1583783349,75,-0.6,73.08,301.94,7.09
59,Sechura,4,PE,1583783349,88,-5.56,-80.82,297.25,8.28
60,Marsá Maţrūḩ,0,EG,1583783349,67,31.35,27.25,287.15,4.6
61,Acaraú,90,BR,1583783349,94,-2.89,-40.12,299.15,3.6
62,New Norfolk,75,AU,1583783350,87,-42.78,147.06,282.15,1.0
63,Comodoro Rivadavia,20,AR,1583783350,77,-45.87,-67.5,291.15,2.6
64,Saint George,1,US,1583783350,32,37.1,-113.58,290.93,3.96
65,Yellowknife,85,CA,1583783350,91,62.46,-114.35,259.26,4.02
66,Tazmalt,75,DZ,1583783351,93,36.39,4.4,285.15,2.1
67,Tasiilaq,100,GL,1583783351,41,65.61,-37.64,266.15,11.8
68,Bredasdorp,36,ZA,1583783351,64,-34.53,20.04,293.15,5.1
69,Torbay,0,CA,1583783351,57,47.67,-52.73,265.93,3.58
70,Chui,13,UY,1583783351,81,-33.7,-53.46,296.78,6.17
71,Mar del Plata,75,AR,1583783351,63,-38.0,-57.56,292.15,7.2
72,Faanui,100,PF,1583783351,71,-16.48,-151.75,301.69,3.53
73,Nabadwip,0,IN,1583783352,41,23.42,88.37,293.14,1.62
74,Port Elizabeth,90,ZA,1583783352,93,-33.92,25.57,291.15,1.5
75,Hermanus,100,ZA,1583783352,83,-34.42,19.23,292.59,1.34
76,Mahébourg,75,MU,1583783352,88,-20.41,57.7,299.15,6.2
77,Koslan,100,RU,1583783154,91,63.46,48.9,272.62,4.15
78,Norman Wells,70,CA,1583783353,84,65.28,-126.83,260.85,1.14
79,Bambous Virieux,75,MU,1583783353,88,-20.34,57.76,299.15,6.2
80,Nanortalik,66,GL,1583783347,85,60.14,-45.24,269.67,5.64
81,Bara,67,NG,1583783353,9,10.37,10.73,299.79,2.37
82,Solnechnyy,97,RU,1583783354,98,50.72,136.63,260.1,0.28
83,Hong Kong,40,HK,1583783058,94,22.29,114.16,297.15,7.7
84,Emerald,90,AU,1583783354,94,-23.53,148.17,294.15,4.1
85,Merauke,100,ID,1583783354,98,-8.47,140.33,297.15,2.99
86,Yar-Sale,100,RU,1583783354,97,66.83,70.83,262.13,5.55
87,Tuktoyaktuk,99,CA,1583783354,93,69.45,-133.04,251.05,1.94
88,Flin Flon,100,CA,1583783354,77,54.77,-101.86,258.61,2.43
89,Saint-Pierre,1,RE,1583783355,94,-21.34,55.48,298.15,12.3
90,Port Alfred,100,ZA,1583783355,96,-33.59,26.89,293.15,1.34
91,Butaritari,58,KI,1583783345,80,3.07,172.79,302.34,9.01
92,Atuona,0,PF,1583783355,62,-9.8,-139.03,300.72,5.93
93,Dakar,100,SN,1583783092,83,14.69,-17.44,299.15,6.2
